Tracing "SyS_read" for PID 103696... Ctrl-C to end.
   0)               |                                unlock_buffer() {
   0)               |                                  wake_up_bit() {
   0)   0.352 us    |                                    __wake_up_bit();
   0)   0.850 us    |                                  } /* wake_up_bit */
   0)   1.338 us    |                                } /* unlock_buffer */
   0)   0.250 us    |                                _raw_spin_lock();
   0)               |                                __jbd2_journal_file_buffer() {
   0)   0.255 us    |                                  jbd2_journal_grab_journal_head();
   0)   0.995 us    |                                } /* __jbd2_journal_file_buffer */
   0)   0.278 us    |                                jbd2_journal_cancel_revoke();
   0)   5.482 us    |                              } /* do_get_write_access */
   0)   0.234 us    |                              jbd2_journal_put_journal_head();
   0)   7.486 us    |                            } /* jbd2_journal_get_write_access */
   0)   8.914 us    |                          } /* __ext4_journal_get_write_access */
   0) + 21.629 us   |                        } /* ext4_reserve_inode_write */
   0)               |                        ext4_mark_iloc_dirty() {
   0)               |                          ext4_do_update_inode() {
   0)   0.270 us    |                            _raw_spin_lock();
   0)               |                            from_kuid() {
   0)   0.392 us    |                              map_id_up();
   0)   0.945 us    |                            } /* from_kuid */
   0)               |                            from_kgid() {
   0)   0.244 us    |                              map_id_up();
   0)   0.716 us    |                            } /* from_kgid */
   0)               |                            from_kprojid() {
   0)   0.250 us    |                              map_id_up();
   0)   0.720 us    |                            } /* from_kprojid */
   0)   0.292 us    |                            ext4_inode_csum_set();
   0)               |                            __ext4_handle_dirty_metadata() {
   0)               |                              _cond_resched() {
   0)   0.248 us    |                                rcu_all_qs();
   0)   0.730 us    |                              } /* _cond_resched */
   0)               |                              jbd2_journal_dirty_metadata() {
   0)   0.261 us    |                                _raw_spin_lock();
   0)               |                                __jbd2_journal_file_buffer() {
   0)   0.350 us    |                                  __jbd2_journal_temp_unlink_buffer();
   0)   1.178 us    |                                } /* __jbd2_journal_file_buffer */
   0)   2.760 us    |                              } /* jbd2_journal_dirty_metadata */
   0) ! 126.053 us  |                            } /* __ext4_handle_dirty_metadata */
   0)   0.236 us    |                            __brelse();
   0) ! 132.193 us  |                          } /* ext4_do_update_inode */
   0) ! 132.861 us  |                        } /* ext4_mark_iloc_dirty */
   0) ! 156.572 us  |                      } /* ext4_mark_inode_dirty */
   0)               |                      __ext4_journal_stop() {
   0)               |                        jbd2_journal_stop() {
   0)               |                          __wake_up() {
   0)               |                            __wake_up_common_lock() {
   0)   0.242 us    |                              _raw_spin_lock_irqsave();
   0)   0.267 us    |                              __wake_up_common();
   0)   0.263 us    |                              _raw_spin_unlock_irqrestore();
   0)   1.770 us    |                            } /* __wake_up_common_lock */
   0)   2.255 us    |                          } /* __wake_up */
   0)   0.660 us    |                          kmem_cache_free();
   0)   4.168 us    |                        } /* jbd2_journal_stop */
   0)   4.753 us    |                      } /* __ext4_journal_stop */
   0) ! 171.133 us  |                    } /* ext4_dirty_inode */
   0) ! 172.141 us  |                  } /* __mark_inode_dirty */
   0) ! 172.911 us  |                } /* generic_update_time */
   0)   0.518 us    |                __mnt_drop_write();
   0)   0.298 us    |                __sb_end_write();
   0) ! 182.300 us  |              } /* touch_atime */
   0) ! 215.152 us  |            } /* generic_file_read_iter */
   0) ! 216.127 us  |          } /* ext4_file_read_iter */
   0) ! 217.589 us  |        } /* new_sync_read */
   0) ! 218.475 us  |      } /* __vfs_read */
   0) ! 226.637 us  |    } /* vfs_read */
   0) ! 274.663 us  |  } /* SyS_read */
